,value,err_upper,err_lower,units
TTS_0_0,1700.7330120997467,0.007135198742162174,-0.008241989121415827,days
TTS_0_1,1852.4003106321588,0.004218598269062568,-0.0038458405533674522,days
TTS_0_2,1890.3282169532342,0.004918293323726175,-0.008394818033366391,days
TTS_0_3,1966.1465474708277,0.006944075159026397,-0.006871327976114117,days
TTS_0_4,2004.0643352044278,0.004685849246470752,-0.005998654229415479,days
TTS_0_5,2421.2393117473953,0.006379657083925849,-0.005261110371520772,days
TTS_0_6,2648.826769517323,0.004075556813404546,-0.004565162544622581,days
TTS_0_7,2686.7560056407588,0.004412028004935564,-0.0037444448807946173,days
TTS_0_8,2724.6673711070166,0.005844385174441413,-0.009450535728774412,days
TTS_0_9,2762.605101815934,0.003592127865886141,-0.005193626855543698,days
TTS_0_10,2800.5479787636114,0.004339001781318075,-0.00427281657630374,days
TTS_0_11,2838.491246273974,0.005948493917458109,-0.005074883699762722,days
TTS_0_12,2876.374282702356,0.0042187382600786805,-0.004476498161693598,days
PERIOD,37.925470982590085,0.00015722599589196307,-0.00014893609073141079,days
T0,1700.6913329438016,0.0035589141928085155,-0.003253977097074312,days
ROR,0.037640786315565555,0.0031344358889151963,-0.0018282070667924727,
IMPACT,0.5946529398944582,0.22286467550847067,-0.37401905587736384,
DUR14,0.14712506613701673,0.006503394923104089,-0.005166403169303613,days
ECC,0.3951284421025075,0.23503771203157353,-0.22156480115171473,
OMEGA,89.2548243009785,105.67383072647853,-103.76746744437693,deg
R_PL,3.5571547450014984,0.3024152473480881,-0.19050599904205257,R_earth
