,MEAN,LN_SIGLC,TTS_0_0,TTS_0_1,TTS_0_2,TTS_0_3,TTS_0_4,TTS_0_5,TTS_0_6,TTS_0_7,TTS_0_8,TTS_0_9,TTS_0_10,TTS_0_11,TTS_0_12,TTS_0_13,TTS_0_14,TTS_0_15,TTS_0_16,TTS_0_17,TTS_0_18,TTS_0_19,TTS_0_20,LN_ROR_0,ROR_0,IMPACT_0,LD_U1,LD_U2,LN_DUR14_0,DUR14_0,PERIOD_0,T0_0,QUALITY
0,1.7703038810553522e-05,-6.917620707032053,1703.4778945305852,1731.1341769009166,1758.7673683763703,1786.4022503657657,1896.985064258686,1924.6362554578532,1952.2752812809347,1979.948948841741,2007.5575416405431,2394.585241182402,2422.2231504536053,2588.0745783929533,2615.72801687063,2643.3609786186585,2671.023791622804,2698.655541261012,2726.288998472841,2753.9468548930954,2892.1601512382563,2919.8004003424185,2947.458546074344,-3.7679426804120553,0.023099537566706647,0.13569493525054763,0.4190023083262262,0.3179748166954224,-1.4478128644432737,0.23508388656143853,27.643691913505357,1703.4839335479696,0
1,4.228898986684581e-06,-6.914735373350134,1703.5172627949705,1731.1429010116844,1758.7700061488601,1786.4015556266563,1896.985343556362,1924.6359531446303,1952.271880206174,1979.9224885497274,2007.5519416075908,2394.584059539659,2422.2073030790248,2588.087131004865,2615.7253948310777,2643.369695793473,2671.0278273843714,2698.664063119351,2726.30418605046,2753.9381360695907,2892.1570668270024,2919.8208024877804,2947.428236563992,-3.7621742193792014,0.023233171409287042,0.07510089001610147,0.2589057747194785,0.28465581223436587,-1.471173029656231,0.22965593390061126,27.64357651468282,1703.487623088773,0
2,6.541137596126789e-06,-6.913923713021073,1703.5222334620346,1731.1367846633577,1758.767583941029,1786.3955856755454,1896.9865763394016,1924.6316676913266,1952.272730301338,1979.924793436486,2007.5480730055272,2394.586235247697,2422.2106568301815,2588.0858427805906,2615.721753693878,2643.3716701935796,2671.0255555759845,2698.659255295325,2726.3041524836817,2753.939602369709,2892.1604551934697,2919.82169034556,2947.4258786600444,-3.752903215456367,0.023449567788438284,0.0750461476683937,0.32512970935610497,0.3052022839665074,-1.4635948248356223,0.2314029247726212,27.643613179041246,1703.486098305952,0
3,1.9845554018666986e-05,-6.912703111912091,1703.5181386036468,1731.1186875879205,1758.7661545093383,1786.3974489537381,1897.0032949882652,1924.6083780271426,1952.2822230388776,1979.933741408258,2007.5497848828622,2394.5853508696982,2422.218593796627,2588.069020605876,2615.734667960153,2643.375292286045,2671.0289049723865,2698.6616607970923,2726.305429561987,2753.9413878875343,2892.1606093446117,2919.803953281679,2947.44931116757,-3.7482082265398735,0.023559922102731935,0.27569961520377445,0.17409953448142512,0.37987243923180336,-1.4695889996496552,0.2300200040640041,27.643728479788056,1703.4840996529917,0
4,1.3338713222091026e-05,-6.920398072231676,1703.5038611673324,1731.1237991235305,1758.7588773724958,1786.4005736473596,1897.0049353170466,1924.6092922482399,1952.2780089988698,1979.9290642405913,2007.5534263649376,2394.5835431770784,2422.2132017345743,2588.0756931329406,2615.7396005539877,2643.3752727769406,2671.021477557015,2698.659397764389,2726.3046675028277,2753.9415539297042,2892.156176947639,2919.8202412294645,2947.4519252898936,-3.740773675390995,0.02373573227373372,0.1563388912429959,0.15440951856966367,0.22425658827289818,-1.4702918784065078,0.2298583846955606,27.643846268968602,1703.481058440043,0
5,1.774290119204282e-05,-6.917814674938747,1703.4815475503392,1731.1169003451657,1758.762958799078,1786.4011501468474,1897.0052296318272,1924.6289107838356,1952.2818844300932,1979.9317544936416,2007.548878520012,2394.5796423131474,2422.2175278659815,2588.0796334638817,2615.757711240595,2643.379129178644,2671.023280289188,2698.661503296651,2726.3059949696735,2753.939961003506,2892.1613072303094,2919.800444184364,2947.4504923371296,-3.7529306943014613,0.023448923430250644,0.12580010000621997,0.27543631259696255,0.18005007023678177,-1.4606382008339818,0.23208810863043855,27.643884498462107,1703.4807222528848,0
6,2.1012980110509447e-05,-6.91041469871791,1703.483454251716,1731.1189618248243,1758.7673208982048,1786.397451855346,1897.0061190403133,1924.6381798120565,1952.282693193075,1979.9299471643264,2007.5506452636932,2394.5869116483336,2422.2060264024785,2588.072701063292,2615.7503088142284,2643.3776308122356,2671.026926342426,2698.6611182378724,2726.3132404987214,2753.944254986418,2892.1675612004356,2919.800458644552,2947.4547352756795,-3.7486681286340713,0.023549089336414645,0.10406004077621751,0.19566200772476483,0.08561445142284518,-1.4706911449254765,0.22976662825730323,27.643881677388528,1703.4817773219581,0
7,7.2908744848202075e-06,-6.908137322470662,1703.4831274124979,1731.123274746959,1758.7634197942796,1786.3980125585163,1896.9907447360579,1924.6365316314577,1952.2975964267882,1979.927654109774,2007.5495453899628,2394.582424456058,2422.226813751411,2588.0751571247297,2615.7509096620897,2643.371420905478,2671.025860516408,2698.662063938443,2726.296799905618,2753.941096092123,2892.157088998218,2919.8169743248122,2947.4455089203807,-3.767447472162221,0.02311097948110841,0.08384852412295897,0.27634073761918954,0.3337197165611754,-1.4783533913754237,0.22801282733353903,27.64383475239641,1703.482151381152,0
8,2.428196928426109e-05,-6.9215628282564,1703.450130818412,1731.1192521240143,1758.7702010604423,1786.397465438316,1897.0016502992826,1924.6363171973421,1952.2850209378903,1979.9371991285816,2007.5445204130563,2394.582613260968,2422.231538616338,2588.0718261437128,2615.74964811701,2643.371680485161,2671.0210019664364,2698.661099290727,2726.291751584108,2753.942489665531,2892.1592421719106,2919.8071870587437,2947.453947195461,-3.7256214114143757,0.02409812092567418,0.5086436627722781,0.22697292783484935,0.2036276885363535,-1.4602199649376344,0.23218519650998612,27.643935844391226,1703.4781196909548,0
9,1.1276121011889897e-05,-6.921117056058119,1703.4496052293937,1731.122870606915,1758.7594204637617,1786.3975794289813,1896.989916843443,1924.6354269058963,1952.289900019316,1979.933100031855,2007.5486035579395,2394.585853769254,2422.2225524138785,2588.0719092002387,2615.751221606209,2643.3728949988554,2671.027559371989,2698.6606976123794,2726.297830716815,2753.938223187273,2892.1579340164144,2919.817954942796,2947.4277429660438,-3.76297611929069,0.023214548199163573,0.28996940092529394,0.19492058875915674,0.43941844029808275,-1.4554214059189718,0.23330202832736485,27.643938899507575,1703.4767650012159,0
