,15th,50th,85th
MEAN,-7.447654579151018e-06,-2.3947788697667963e-06,2.7591166297574737e-06
LN_SIGLC,-7.529990242685166,-7.524071434038836,-7.518190272338861
T0,1900.236335377133,1900.2379645149592,1900.2393527195425
LN_PER,0.038391056599179026,0.038394219102843186,0.038398811215130994
LN_ROR,-4.38040681699701,-4.337728262111328,-4.291822635040286
ROR,0.012520264136267672,0.013066177443393988,0.013679968970378712
IMPACT,0.1122550976618622,0.32925806467942964,0.6026505277742704
PERIOD,1.0391375150163662,1.0391408012977614,1.0391455731599604
LD_U1,0.19409913976743431,0.2886733699134174,0.38771500568363065
LD_U2,0.2017056301150395,0.3043912497227652,0.4085553492418903
LN_DUR14,-2.6175250751168293,-2.5816404554216303,-2.551663185980647
DUR14,0.07298326759625358,0.07564980205095401,0.07795190960333623
ECC,0.039595235840705845,0.18340711447022356,0.557519919067099
OMEGA,-37.76053563057283,95.92518176588837,216.90180224003268
