toi_full,toi,tic_id,tks_name,phot_source,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_imppar,pl_impparerr1,pl_impparerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,st_limbdark1,st_limbdark1err1,st_limbdark1err2,st_limbdark2,st_limbdark2err1,st_limbdark2err2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_trandurcirc,pl_trandurcircerr1,pl_trandurcircerr2,pl_insol,pl_insolerr1,pl_insolerr2,pl_eqt,pl_eqterr1,pl_eqterr2,ttv_flag,notes-1may2023
260.01,260,37749396,HIP1532,spoc,13.47583217,4.53316752E-05,-5.55141812E-05,1392.294418,0.002143,-0.002286,1.9990,0.1369,-0.1250,0.02470,0.00196,-0.00137,1.473,0.120,-0.084,0.579,0.227,-0.412,0.411,0.279,-0.253,89.8,104.8,-102.5,0.317,0.103,-0.101,0.356,0.105,-0.103,0.09072,0.00051,-0.00033,2.964,0.029,-0.042,8.77,0.48,-0.36,439,6,-5,0,
266.01,266,164767175,HIP8152,spoc,10.75101289,7.15416638E-05,-6.99420132E-05,1393.086200,0.003470,-0.003221,2.9954,0.1587,-0.1253,0.02421,0.00143,-0.00123,2.536,0.157,-0.135,0.519,0.213,-0.356,0.328,0.309,-0.209,87.1,105.5,-101.7,0.321,0.103,-0.099,0.268,0.103,-0.103,0.09330,0.00116,-0.00107,4.042,0.099,-0.091,94.68,6.51,-6.27,795,14,-13,0,multi
266.02,266,164767175,HIP8152,spoc,19.60546355,2.28401534E-04,-2.36884711E-04,1398.292674,0.008681,-0.005915,4.3834,0.2664,-0.2130,0.02410,0.00136,-0.00128,2.524,0.150,-0.141,0.397,0.237,-0.274,0.212,0.356,-0.147,92.0,115.0,-119.0,0.339,0.099,-0.102,0.280,0.102,-0.104,0.13926,0.00173,-0.00159,4.936,0.121,-0.112,42.50,2.92,-2.81,651,11,-11,0,multi
329.01,329,169765334,T000329,spoc,5.70442043,1.16269016E-04,-1.01346356E-04,2090.793364,0.004339,-0.005728,4.2083,0.2113,-0.1829,0.02955,0.00161,-0.00138,4.941,0.292,-0.256,0.465,0.225,-0.313,0.254,0.339,-0.169,90.2,112.6,-114.2,0.348,0.101,-0.103,0.273,0.105,-0.103,0.06386,0.00062,-0.00061,5.041,0.133,-0.114,513.26,38.43,-36.57,1213,23,-22,0,
465.01,465,270380593,WASP156,spoc,3.83616211,1.70193535E-06,-1.63534748E-06,1414.136107,0.000359,-0.000343,2.4045,0.0192,-0.0172,0.06684,0.00087,-0.00071,6.028,0.128,-0.120,0.228,0.160,-0.159,0.163,0.335,-0.103,88.9,94.0,-92.3,0.411,0.058,-0.056,0.228,0.090,-0.093,0.04580,0.00044,-0.00047,2.636,0.060,-0.059,180.79,10.80,-10.86,934,14,-14,0,
469.01,469,33692729,42813,spoc,13.63082947,2.59567824E-05,-2.61024694E-05,1474.569115,0.001064,-0.001080,4.3326,0.0493,-0.0417,0.03193,0.00068,-0.00062,3.426,0.097,-0.090,0.248,0.204,-0.176,0.135,0.336,-0.107,93.0,111.8,-117.3,0.353,0.080,-0.084,0.246,0.096,-0.096,0.10960,0.00126,-0.00120,4.501,0.113,-0.106,58.03,4.05,-3.92,703,12,-12,0,
480.01,480,317548889,39688,spoc,6.86590584,1.73146381E-05,-1.91098181E-05,1469.565500,0.001611,-0.001532,3.5709,0.0590,-0.0561,0.01759,0.00062,-0.00049,2.854,0.132,-0.102,0.469,0.242,-0.330,0.328,0.306,-0.193,90.3,99.0,-98.1,0.236,0.088,-0.089,0.270,0.092,-0.100,0.07675,0.00056,-0.00058,4.838,0.127,-0.148,489.84,41.45,-44.35,1199,25,-27,0,possible TTVs
509.01,509,453211454,63935,spoc,9.05880543,1.77248174E-05,-1.55571377E-05,1494.446730,0.001002,-0.001018,3.7027,0.0448,-0.0419,0.02785,0.00074,-0.00055,2.916,0.093,-0.077,0.296,0.255,-0.198,0.157,0.364,-0.126,92.4,122.4,-126.8,0.312,0.078,-0.078,0.278,0.094,-0.099,0.08333,0.00101,-0.00094,3.824,0.093,-0.086,109.94,7.36,-7.38,825,14,-14,0,multi
509.02,509,453211454,63935,spoc,21.40246444,1.79352979E-03,-1.91868569E-03,1504.143758,0.066969,-0.062200,5.4205,0.0768,-0.0595,0.02927,0.00067,-0.00056,3.065,0.088,-0.079,0.273,0.263,-0.192,0.253,0.335,-0.156,191.5,42.1,-244.7,0.291,0.084,-0.083,0.227,0.099,-0.094,0.14781,0.00179,-0.00167,5.098,0.124,-0.115,34.94,2.34,-2.35,620,10,-10,0,multi
554.01,554,407966340,25463,spoc,3.04405023,8.78080795E-06,-7.87573507E-06,1438.473326,0.001990,-0.002536,1.3514,0.0628,-0.0645,0.00881,0.00083,-0.00060,1.364,0.130,-0.096,0.689,0.229,-0.433,0.687,0.148,-0.394,91.4,75.7,-79.9,0.243,0.100,-0.105,0.278,0.105,-0.101,0.04429,0.00029,-0.00027,3.523,0.076,-0.051,1498.35,97.05,-89.23,1586,26,-24,0,multi
