toi,sy_pnum,tic_id,tks_name,evol,st_age,st_ageerr1,st_ageerr2,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,st_mass,st_masserr1,st_masserr2,st_dens,st_denserr1,st_denserr2,st_met,st_meterr1,st_meterr2,st_lum,st_lumerr1,st_lumerr2,st_logg,st_loggerr1,st_loggerr2,st_avs,st_avserr1,st_avserr2,st_limbdark1_derived,st_limbdark2_derived,specmatch_flag,specmatch_teff,specmatch_tefferr,specmatch_logg,specmatch_loggerr,specmatch_met,specmatch_meterr,sy_jmag,sy_jmagerr,sy_hmag,sy_hmagerr,sy_kmag,sy_kmagerr,sy_gaiamag,sy_gaiamagerr,sy_gaiabpmag,sy_gaiabpmagerr,sy_gaiarpmag,sy_gaiarpmagerr,sy_plx,sy_plxerr,ra,dec
260,1,37749396,HIP1532,MS,15.9,2.8,-5.5,4050,36,-31,0.5468,0.0109,-0.0074,0.5485,0.0093,-0.0060,4.6966,0.1358,-0.1972,-0.211,0.057,-0.089,0.073,0.004,-0.003,4.700,0.007,-0.010,0.007,0.063,-0.053,0.313,0.350,emp,4020,70,,,-0.45,0.09,7.38,0.02,6.71,0.03,6.55,0.02,9.31,0.01,10.15,0.01,8.45,0.01,49.512,0.056,4.77317781,-9.9648526
266,2,164767175,HIP8152,MS,6.0,2.4,-2.3,5618,74,-73,0.9603,0.0175,-0.0163,0.9373,0.0350,-0.0322,1.4775,0.1081,-0.0999,0.007,0.058,-0.059,0.831,0.049,-0.045,4.443,0.024,-0.024,0.006,0.051,-0.052,0.332,0.276,syn,5613,100,4.4,0.1,-0.01,0.06,8.85,0.03,8.54,0.05,8.45,0.02,9.91,0.01,10.27,0.01,9.41,0.01,9.805,0.040,26.2096483,-18.400908
329,1,169765334,T000329,SG,8.7,1.0,-1.0,5614,79,-74,1.5326,0.0348,-0.0340,1.0678,0.0312,-0.0304,0.4127,0.0324,-0.0278,0.205,0.058,-0.056,2.114,0.136,-0.128,4.092,0.024,-0.022,0.026,0.055,-0.053,0.340,0.268,syn,5634,100,4.0,0.1,0.18,0.06,10.08,0.02,9.75,0.03,9.68,0.02,11.15,0.01,11.53,0.01,10.65,0.01,3.488,0.051,351.320862,-15.634653
465,1,270380593,WASP156,MS,5.6,3.9,-3.2,4987,57,-56,0.8268,0.0138,-0.0140,0.8712,0.0250,-0.0267,2.1541,0.1461,-0.1441,0.305,0.058,-0.059,0.382,0.021,-0.020,4.541,0.022,-0.024,0.088,0.052,-0.053,0.417,0.240,syn,5021,100,4.4,0.1,0.29,0.06,9.91,0.02,9.47,0.02,9.34,0.02,11.32,0.01,11.85,0.01,10.69,0.01,8.164,0.043,32.7817653,2.41802127
469,1,33692729,42813,MS,8.6,2.8,-2.7,5323,73,-71,0.9839,0.0181,-0.0174,0.9452,0.0327,-0.0310,1.3866,0.1045,-0.0974,0.332,0.058,-0.060,0.702,0.042,-0.038,4.425,0.025,-0.025,0.030,0.055,-0.055,0.373,0.261,syn,5398,100,4.4,0.1,0.33,0.06,8.06,0.03,7.72,0.05,7.59,0.02,9.27,0.01,9.71,0.01,8.72,0.01,14.636,0.038,93.0581973,-14.650017
480,1,317548889,39688,MS,2.7,0.6,-0.5,6174,90,-119,1.4877,0.0443,-0.0338,1.2793,0.0282,-0.0288,0.5411,0.0423,-0.0494,0.164,0.077,-0.070,2.897,0.218,-0.196,4.194,0.026,-0.027,-0.008,0.057,-0.060,0.268,0.298,syn,6206,100,4.2,0.1,0.16,0.06,6.32,0.03,6.07,0.04,6.01,0.03,7.14,0.01,7.44,0.01,6.75,0.01,18.310,0.042,88.3786566,-16.26501
509,2,453211454,63935,MS,6.6,2.5,-2.4,5513,71,-73,0.9598,0.0168,-0.0167,0.9406,0.0342,-0.0318,1.4863,0.1082,-0.1007,0.107,0.054,-0.057,0.768,0.045,-0.041,4.445,0.024,-0.024,-0.009,0.052,-0.053,0.339,0.275,syn,5535,100,4.4,0.1,0.09,0.06,7.30,0.02,6.96,0.05,6.88,0.02,8.39,0.01,8.78,0.01,7.88,0.01,20.390,0.044,117.924986,9.3860537
554,2,407966340,25463,MS,2.3,0.4,-0.4,6353,85,-77,1.4182,0.0241,-0.0230,1.2510,0.0248,-0.0229,0.6098,0.0391,-0.0262,-0.018,0.054,-0.062,2.970,0.158,-0.149,4.227,0.019,-0.014,0.019,0.045,-0.047,0.259,0.296,syn,6329,100,4.3,0.1,-0.03,0.06,5.95,0.02,5.77,0.03,5.71,0.02,6.78,0.01,7.04,0.01,6.40,0.01,21.892,0.060,60.7479454,9.20848131
561,3,377064495,T000561,MS,16.1,2.4,-3.1,5342,57,-54,0.8566,0.0143,-0.0141,0.7601,0.0245,-0.0187,1.6910,0.1062,-0.0889,-0.303,0.058,-0.056,0.540,0.029,-0.027,4.451,0.021,-0.017,-0.025,0.045,-0.043,0.363,0.241,syn,5250,100,4.4,0.1,-0.33,0.06,8.88,0.02,8.50,0.06,8.39,0.02,10.01,0.01,10.41,0.01,9.48,0.01,11.627,0.067,148.185621,6.21636787
669,1,124573851,T000669,MS,7.9,2.3,-2.2,5597,72,-72,0.9882,0.0176,-0.0175,0.9245,0.0327,-0.0303,1.3400,0.0968,-0.0902,0.001,0.059,-0.060,0.866,0.048,-0.046,4.412,0.024,-0.024,0.033,0.051,-0.052,0.332,0.276,syn,5611,100,4.4,0.1,-0.02,0.06,9.56,0.02,9.22,0.02,9.13,0.02,10.64,0.01,11.01,0.01,10.13,0.01,6.971,0.041,158.900659,-5.1816839
1136,4,142276270,T001136,MS,0.7,0.9,-0.4,5805,57,-58,0.9573,0.0141,-0.0137,1.0404,0.0174,-0.0204,1.6619,0.0619,-0.0667,0.075,0.055,-0.055,0.940,0.050,-0.049,4.492,0.010,-0.013,0.022,0.040,-0.041,0.300,0.295,syn,5813,100,4.6,0.1,0.09,0.06,8.36,0.02,8.09,0.02,8.03,0.02,9.37,0.01,9.72,0.01,8.89,0.01,11.800,0.022,192.184889,64.8553193
1173,1,232967440,T001173,MS,5.9,2.4,-2.4,5415,62,-65,0.9361,0.0153,-0.0143,0.9450,0.0311,-0.0291,1.6131,0.1051,-0.1031,0.191,0.061,-0.060,0.678,0.036,-0.032,4.468,0.022,-0.022,0.095,0.049,-0.050,0.345,0.275,syn,5340,100,4.4,0.1,0.18,0.06,9.56,0.02,9.23,0.02,9.13,0.02,10.80,0.01,11.23,0.01,10.25,0.01,7.527,0.026,197.682344,70.7684102
1174,1,154089169,T001174,MS,2.7,3.6,-1.9,5158,59,-58,0.7847,0.0270,-0.0213,0.8425,0.0203,-0.0209,2.4367,0.1832,-0.2506,-0.002,0.062,-0.062,0.395,0.035,-0.030,4.573,0.021,-0.033,0.098,0.048,-0.049,0.370,0.261,syn,5116,100,4.7,0.1,0.00,0.06,9.47,0.02,9.03,0.02,8.96,0.02,10.81,0.01,11.28,0.01,10.20,0.01,10.538,0.028,209.218133,68.6180147
