toi_full,toi,tic,tks_name,evol,source,sm_flag,sm_teff,sm_teff_err,sm_logg,sm_logg_err,sm_feh,sm_feh_err,jmag,jmag_err,hmag,hmag_err,kmag,kmag_err,gamag,gamag_err,bpmag,bpmag_err,rpmag,rpmag_err,parallax,parallax_err,ra,dec,st_age,st_ageerr1,st_ageerr2,st_avs,st_avserr1,st_avserr2,sy_dist,sy_disterr1,sy_disterr2,st_met,st_meterr1,st_meterr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_lum,st_lumerr1,st_lumerr2,st_logg,st_loggerr1,st_loggerr2,st_dens,st_denserr1,st_denserr2,st_teff,st_tefferr1,st_tefferr2,st_limbdark1,st_limbdark2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_imppar,pl_impparerr1,pl_impparerr2,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_rade,pl_radeerr1,pl_radeerr2,comment
260.01,260,37749396,HIP1532,MS,spoc,emp,4019.8,70,,,-0.448,0.09,7.376,0.02,6.71,0.031,6.549,0.021,9.312404,0.01,10.1455965,0.01,8.445664,0.01,49.512332,0.05634299,4.77317781,-9.9648526,15.9006681,2.84442179,-5.4548657,0.00681534,0.06256847,-0.0529706,20.1969884,17748.4372,-17748.437,-0.2106472,0.05739911,-0.0892647,0.54853095,0.009331,-0.0059874,0.5467552,0.01091214,-0.0073823,0.07282494,0.0037943,-0.0033055,4.69996596,0.00670458,-0.0101367,3.33143848,0.09633874,-0.1398454,4050.49212,35.6357425,-30.738262,0.31295138,0.34952934,13.4758168,4.6304E-05,-5.552E-05,1392.29432,0.00211162,-0.0020744,0.02471677,0.00176641,-0.0013766,0.59217616,0.20712572,-0.378164,1.9940734,0.13080974,-0.1214502,0.35934172,0.27461523,-0.2111991,89.2024206,117.274057,-112.34569,1.4727455,0.1104313,-0.0856855,
266.01,266,164767175,HIP8152,MS,spoc,syn,5613.20607,100,4.40642608,0.1,-0.0101215,0.06,8.847,0.027,8.542,0.047,8.449,0.021,9.90726,0.01,10.271773,0.01,9.410853,0.01,9.804692,0.04023961,26.2096483,-18.400908,6.02794974,2.37694099,-2.3033783,0.00570447,0.05135177,-0.0516068,101.99199,24851.1338,-24851.134,0.00716587,0.05796991,-0.059443,0.93731074,0.03497117,-0.0322012,0.96030382,0.01749212,-0.0163188,0.83102935,0.04897009,-0.0447534,4.44280078,0.02444844,-0.0241305,1.04803476,0.07667691,-0.0708941,5617.81991,74.1311718,-73.040599,0.33241943,0.27565504,10.7510138,5.3863E-05,-5.8E-05,1393.08555,0.00314971,-0.002634,0.02476966,0.00134248,-0.0011665,0.53699763,0.19624976,-0.3439938,3.01091959,0.11590809,-0.1049292,0.29563349,0.29047077,-0.1758243,88.3144541,116.035282,-114.2916,2.59294075,0.14783188,-0.1284878,
266.02,266,164767175,HIP8152,MS,spoc,syn,5613.20607,100,4.40642608,0.1,-0.0101215,0.06,8.847,0.027,8.542,0.047,8.449,0.021,9.90726,0.01,10.271773,0.01,9.410853,0.01,9.804692,0.04023961,26.2096483,-18.400908,6.02794974,2.37694099,-2.3033783,0.00570447,0.05135177,-0.0516068,101.99199,24851.1338,-24851.134,0.00716587,0.05796991,-0.059443,0.93731074,0.03497117,-0.0322012,0.96030382,0.01749212,-0.0163188,0.83102935,0.04897009,-0.0447534,4.44280078,0.02444844,-0.0241305,1.04803476,0.07667691,-0.0708941,5617.81991,74.1311718,-73.040599,0.33241943,0.27565504,19.6056206,0.0002445,-0.000238,1398.28673,0.00654931,-0.0062272,0.02164646,0.00133865,-0.0013274,0.43229546,0.21295194,-0.2807943,4.21299829,0.23590482,-0.2204649,0.21918524,0.31618887,-0.14596,91.0505661,121.235152,-123.59161,2.26747611,0.1455588,-0.145232,period was ambiguous before
329.01,329,169765334,T000329,SG,spoc,syn,5633.82956,100,4.00332085,0.1,0.18334505,0.06,10.075,0.023,9.748,0.025,9.677,0.02,11.153597,0.01,11.529753,0.01,10.649031,0.01,3.488376,0.05135835,351.320862,-15.634653,8.70793621,1.02160999,-1.038814,0.02627184,0.05456905,-0.0526345,286.666361,19471.0311,-19471.031,0.20470399,0.0583776,-0.0559631,1.06784721,0.03120918,-0.0303752,1.53263945,0.03481219,-0.0340341,2.11422425,0.13618511,-0.1283118,4.09197618,0.02401406,-0.0219357,0.29275924,0.02294847,-0.019752,5613.8937,78.9389596,-73.532876,0.34031657,0.26807482,5.70437435,0.00013315,-0.0001185,2090.79558,0.00384079,-0.0062505,0.02920781,0.00151094,-0.0013334,0.44660684,0.20930475,-0.2889287,4.25408474,0.23025008,-0.1775533,0.22580685,0.32641632,-0.1446319,91.0773845,121.19706,-122.3975,4.88308555,0.27703923,-0.2429972,
465.01,465,270380593,WASP156,MS,spoc,syn,5021.03069,100,4.40594584,0.1,0.28595034,0.06,9.906,0.022,9.473,0.023,9.339,0.023,11.322707,0.01,11.845999,0.01,10.686572,0.01,8.163658,0.04295221,32.7817653,2.41802127,5.62416863,3.86270567,-3.2103974,0.08833643,0.05205287,-0.0533503,122.494114,23281.6895,-23281.689,0.30476149,0.05766955,-0.0593658,0.87115836,0.02499571,-0.0267425,0.82681115,0.0137619,-0.0139693,0.38180686,0.0211464,-0.0200081,4.54136913,0.02192958,-0.023934,1.52795189,0.1036533,-0.1022002,4986.77387,57.0413299,-56.453896,0.41739923,0.23974505,3.83616232,1.5214E-06,-1.544E-06,1414.13606,0.00031403,-0.0003129,0.0670725,0.00082106,-0.0006455,0.21071057,0.15502839,-0.1414906,2.40390012,0.01702554,-0.0151414,0.15811201,0.30794941,-0.0934012,89.8598522,98.3472638,-97.604617,6.05438522,0.12195662,-0.1196141,
469.01,469,33692729,42813,MS,spoc,syn,5397.50982,100,4.38980627,0.1,0.32502458,0.06,8.056,0.029,7.718,0.049,7.587,0.024,9.274681,0.01,9.70711,0.01,8.716325,0.01,14.635666,0.03772184,93.0581973,-14.650017,8.62501593,2.78076224,-2.7015029,0.02966075,0.05488752,-0.0551655,68.3262382,26509.8437,-26509.844,0.33198095,0.05835022,-0.0595604,0.94522731,0.0326705,-0.0309724,0.98386607,0.01812096,-0.0174245,0.70221732,0.04152891,-0.0382361,4.42523803,0.02471147,-0.0248665,0.98352625,0.07412041,-0.0691129,5322.52777,72.7511479,-70.708623,0.37277391,0.26093811,13.6308276,2.4001E-05,-2.502E-05,1474.56943,0.00100847,-0.0010033,0.03240271,0.00063247,-0.0005723,0.24654502,0.18851299,-0.1645381,4.33656986,0.04437443,-0.0403052,0.12439093,0.31301074,-0.0946672,87.9000877,124.103264,-120.64099,3.47791025,0.09265102,-0.0889281,
480.01,480,317548889,39688,MS,spoc,syn,6206.24513,100,4.21443166,0.1,0.16017057,0.06,6.316,0.03,6.071,0.04,6.01,0.033,7.144204,0.01,7.435607,0.01,6.7455945,0.01,18.309516,0.0416137,88.3786566,-16.26501,2.68598195,0.57542225,-0.5009333,-0.0075459,0.05681118,-0.0604754,54.6164072,24030.5498,-24030.55,0.16383786,0.07742394,-0.0696372,1.27929783,0.02819519,-0.0287569,1.48767667,0.04433805,-0.0338368,2.89704548,0.21771896,-0.1955071,4.19448237,0.02597702,-0.0265748,0.38383393,0.03002491,-0.0350565,6173.98339,89.9010698,-118.59062,0.26799206,0.29776325,6.86588082,1.3887E-05,-1.528E-05,1469.56591,0.00145953,-0.0012489,0.01757898,0.0005652,-0.0004749,0.50746752,0.19693277,-0.3264514,3.62394887,0.04629834,-0.0394071,0.28034143,0.28648715,-0.1667609,89.1761632,111.232996,-110.15947,2.85465432,0.11750306,-0.1058819,
509.01,509,453211454,63935,MS,spoc,syn,5534.64601,100,4.38054068,0.1,0.08931254,0.06,7.304,0.024,6.964,0.051,6.881,0.021,8.393526,0.01,8.779733,0.01,7.8839793,0.01,20.390229,0.04367687,117.924986,9.3860537,6.56033328,2.49717962,-2.4379375,-0.0093185,0.0520617,-0.0529226,49.0430985,22895.4135,-22895.414,0.10708302,0.05445609,-0.0567652,0.94055205,0.03416082,-0.0317933,0.95980568,0.01677006,-0.0166875,0.76815146,0.04486082,-0.0407649,4.44461295,0.02382572,-0.0241205,1.0542887,0.07674603,-0.071404,5512.65315,71.3189914,-72.802443,0.33852251,0.27485184,9.05880678,1.4991E-05,-1.463E-05,1494.44673,0.00091943,-0.0009261,0.02831988,0.00070999,-0.0005001,0.31475233,0.25172866,-0.2016269,3.70226862,0.04179904,-0.0378157,0.1655409,0.33810618,-0.1306679,91.9602422,133.988141,-137.74329,2.96786747,0.0907011,-0.0751992,
509.02,509,453211454,63935,MS,spoc,syn,5534.64601,100,4.38054068,0.1,0.08931254,0.06,7.304,0.024,6.964,0.051,6.881,0.021,8.393526,0.01,8.779733,0.01,7.8839793,0.01,20.390229,0.04367687,117.924986,9.3860537,6.56033328,2.49717962,-2.4379375,-0.0093185,0.0520617,-0.0529226,49.0430985,22895.4135,-22895.414,0.10708302,0.05445609,-0.0567652,0.94055205,0.03416082,-0.0317933,0.95980568,0.01677006,-0.0166875,0.76815146,0.04486082,-0.0407649,4.44461295,0.02382572,-0.0241205,1.0542887,0.07674603,-0.071404,5512.65315,71.3189914,-72.802443,0.33852251,0.27485184,21.4027365,0.00181962,-0.0018159,1504.13454,0.06292549,-0.0627856,0.0292387,0.00061935,-0.0005099,0.27513537,0.24576765,-0.1925357,5.42089444,0.06876019,-0.0582142,0.26338003,0.31855481,-0.1632182,193.030746,48.8788402,-254.66496,3.06276498,0.08534689,-0.0770885,
554.01,554,407966340,25463,MS,spoc,syn,6329.47216,100,4.31310361,0.1,-0.0302304,0.06,5.945,0.024,5.766,0.033,5.706,0.018,6.7761292,0.01,7.041237,0.01,6.4023724,0.01,21.892422,0.05962632,60.7479454,9.20848131,2.3264844,0.38396122,-0.3656455,0.01885725,0.04525313,-0.0466322,45.6779058,16771.1161,-16771.116,-0.0178141,0.05431393,-0.0618046,1.25097977,0.02484869,-0.0228589,1.41822347,0.02410245,-0.0229681,2.96972907,0.15838601,-0.1490757,4.22714231,0.01927655,-0.0144351,0.43257035,0.02774968,-0.0186142,6352.83727,84.999287,-76.969284,0.25930499,0.29641092,3.04405075,9.8694E-06,-7.694E-06,1438.47307,0.00203029,-0.0025504,0.0088193,0.00081822,-0.0005692,0.66570834,0.24438944,-0.4392531,1.36144695,0.05985648,-0.0561163,0.60050715,0.15954146,-0.3046027,91.6277592,88.8906854,-91.116048,1.36500732,0.12693621,-0.0913157,including 2nd planet from TFOP
